instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,atemp_bin,hum_bin
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,"(0.2, 0.3]","(0.2, 0.3]"
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,"(0.2, 0.3]","(0.2, 0.3]"
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,"(0.2, 0.3]","(0.2, 0.3]"
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,"(0.2, 0.3]","(0.2, 0.3]"
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,"(0.2, 0.3]","(0.3, 0.4]"
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,"(0.2, 0.3]","(0.4, 0.5]"
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,"(0.2, 0.3]","(0.4, 0.5]"
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,"(0.1, 0.2]","(0.6, 0.7]"
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,"(0.1, 0.2]","(0.6, 0.7]"
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,"(0.2, 0.3]","(0.5, 0.6]"
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,"(0.1, 0.2]","(0.5, 0.6]"
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,"(0.1, 0.2]","(0.5, 0.6]"
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,"(0.1, 0.2]","(0.6, 0.7]"
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,"(0.1, 0.2]","(0.6, 0.7]"
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,"(0.1, 0.2]","(0.6, 0.7]"
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,"(0.1, 0.2]","(0.7, 0.8]"
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,"(0.1, 0.2]","(0.7, 0.8]"
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,"(0.1, 0.2]","(0.6, 0.7]"
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,"(0.1, 0.2]","(0.6, 0.7]"
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,"(0.1, 0.2]","(0.6, 0.7]"
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,"(0.2, 0.3]","(0.5, 0.6]"
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,"(0.2, 0.3]","(0.5, 0.6]"
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,"(0.2, 0.3]","(0.5, 0.6]"
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,"(0.2, 0.3]","(0.5, 0.6]"
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,"(0.2, 0.3]","(0.5, 0.6]"
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,"(0.2, 0.3]","(0.4, 0.5]"
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,"(0.2, 0.3]","(0.4, 0.5]"
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,"(0.2, 0.3]","(0.4, 0.5]"
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,"(0.2, 0.3]","(0.4, 0.5]"
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,"(0.2, 0.3]","(0.4, 0.5]"
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,"(0.2, 0.3]","(0.6, 0.7]"
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,"(0.2, 0.3]","(0.6, 0.7]"
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,"(0.2, 0.3]","(0.6, 0.7]"
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,"(0.2, 0.3]","(0.6, 0.7]"
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,"(0.1, 0.2]","(0.7, 0.8]"
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,"(0.1, 0.2]","(0.7, 0.8]"
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,"(0.2, 0.3]","(0.4, 0.5]"
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,"(0.2, 0.3]","(0.4, 0.5]"
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,"(0.1, 0.2]","(0.4, 0.5]"
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,"(0.1, 0.2]","(0.4, 0.5]"
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,"(0.1, 0.2]","(0.3, 0.4]"
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,"(0.1, 0.2]","(0.3, 0.4]"
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,"(0.1, 0.2]","(0.3, 0.4]"
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,"(0.2, 0.3]","(0.3, 0.4]"
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,"(0.2, 0.3]","(0.3, 0.4]"
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,"(0.2, 0.3]","(0.2, 0.3]"
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,"(0.2, 0.3]","(0.2, 0.3]"
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,"(0.2, 0.3]","(0.2, 0.3]"
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,"(0.3, 0.4]","(0.2, 0.3]"
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,"(0.2, 0.3]","(0.3, 0.4]"
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,"(0.2, 0.3]","(0.3, 0.4]"
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,"(0.2, 0.3]","(0.3, 0.4]"
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,"(0.2, 0.3]","(0.4, 0.5]"
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,"(0.1, 0.2]","(0.5, 0.6]"
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,"(0.1, 0.2]","(0.5, 0.6]"
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,"(0.2, 0.3]","(0.4, 0.5]"
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,"(0.2, 0.3]","(0.5, 0.6]"
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,"(0.2, 0.3]","(0.6, 0.7]"
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,"(0.2, 0.3]","(0.6, 0.7]"
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,"(0.1, 0.2]","(0.6, 0.7]"
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,"(0.1, 0.2]","(0.6, 0.7]"
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,"(0.1, 0.2]","(0.6, 0.7]"
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,"(0.2, 0.3]","(0.5, 0.6]"
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,"(0.2, 0.3]","(0.5, 0.6]"
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,"(0.2, 0.3]","(0.5, 0.6]"
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,"(0.2, 0.3]","(0.4, 0.5]"
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,"(0.2, 0.3]","(0.4, 0.5]"
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,"(0.2, 0.3]","(0.3, 0.4]"
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,"(0.2, 0.3]","(0.3, 0.4]"
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,"(0.2, 0.3]","(0.3, 0.4]"
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,"(0.2, 0.3]","(0.3, 0.4]"
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,"(0.2, 0.3]","(0.3, 0.4]"
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,"(0.2, 0.3]","(0.5, 0.6]"
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,"(0.2, 0.3]","(0.5, 0.6]"
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,"(0.2, 0.3]","(0.5, 0.6]"
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,"(0.2, 0.3]","(0.5, 0.6]"
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,"(0.2, 0.3]","(0.5, 0.6]"
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,"(0.2, 0.3]","(0.5, 0.6]"
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,"(0.1, 0.2]","(0.5, 0.6]"
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,"(0.1, 0.2]","(0.6, 0.7]"
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,"(0.1, 0.2]","(0.6, 0.7]"
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,"(0.1, 0.2]","(0.6, 0.7]"
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,"(0.2, 0.3]","(0.6, 0.7]"
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,"(0.2, 0.3]","(0.5, 0.6]"
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,"(0.2, 0.3]","(0.6, 0.7]"
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,"(0.2, 0.3]","(0.6, 0.7]"
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,"(0.1, 0.2]","(0.5, 0.6]"
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,"(0.1, 0.2]","(0.4, 0.5]"
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,"(0.1, 0.2]","(0.3, 0.4]"
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,"(0.1, 0.2]","(0.3, 0.4]"
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,"(0.1, 0.2]","(0.3, 0.4]"
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,"(0.1, 0.2]","(0.3, 0.4]"
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,"(0.1, 0.2]","(0.3, 0.4]"
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,"(0.2, 0.3]","(0.3, 0.4]"
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,"(0.2, 0.3]","(0.3, 0.4]"
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,"(0.2, 0.3]","(0.3, 0.4]"
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,"(0.2, 0.3]","(0.3, 0.4]"
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,"(0.1, 0.2]","(0.5, 0.6]"
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,"(0.2, 0.3]","(0.4, 0.5]"
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,"(0.1, 0.2]","(0.4, 0.5]"
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,"(0.1, 0.2]","(0.4, 0.5]"
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,"(0.1, 0.2]","(0.5, 0.6]"
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,"(0.1, 0.2]","(0.5, 0.6]"
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,"(0.2, 0.3]","(0.5, 0.6]"
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,"(0.2, 0.3]","(0.5, 0.6]"
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,"(0.1, 0.2]","(0.5, 0.6]"
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,"(0.1, 0.2]","(0.5, 0.6]"
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,"(0.1, 0.2]","(0.7, 0.8]"
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,"(0.1, 0.2]","(0.7, 0.8]"
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,"(0.1, 0.2]","(0.7, 0.8]"
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,"(0.1, 0.2]","(0.9, 1.0]"
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,"(0.1, 0.2]","(0.9, 1.0]"
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,"(0.1, 0.2]","(0.7, 0.8]"
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,"(0.1, 0.2]","(0.6, 0.7]"
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,"(0.1, 0.2]","(0.5, 0.6]"
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,"(0.1, 0.2]","(0.4, 0.5]"
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,"(0.1, 0.2]","(0.3, 0.4]"
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,"(0.1, 0.2]","(0.3, 0.4]"
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,"(0.1, 0.2]","(0.2, 0.3]"
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,"(0.1, 0.2]","(0.3, 0.4]"
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,"(0.1, 0.2]","(0.3, 0.4]"
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,"(0.1, 0.2]","(0.3, 0.4]"
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,"(0.1, 0.2]","(0.3, 0.4]"
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,"(0.1, 0.2]","(0.3, 0.4]"
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,"(0.1, 0.2]","(0.3, 0.4]"
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,"(-0.001, 0.1]","(0.3, 0.4]"
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,"(-0.001, 0.1]","(0.4, 0.5]"
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,"(-0.001, 0.1]","(0.4, 0.5]"
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,"(-0.001, 0.1]","(0.4, 0.5]"
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,"(-0.001, 0.1]","(0.4, 0.5]"
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,"(-0.001, 0.1]","(0.5, 0.6]"
